utc_time,x_error,y_error,z_error,satclockerror
2026-08-28 00:00:00,0.1241,0.0892,0.0412,0.0210
2026-08-28 00:15:00,0.1315,0.0841,0.0455,0.0225
2026-08-28 00:30:00,0.1389,0.0782,0.0501,0.0241
2026-08-28 00:45:00,0.1452,0.0718,0.0542,0.0258
2026-08-28 01:00:00,0.1508,0.0651,0.0583,0.0272
2026-08-28 01:15:00,0.1554,0.0581,0.0621,0.0289
2026-08-28 01:30:00,0.1591,0.0508,0.0654,0.0305
2026-08-28 01:45:00,0.1618,0.0433,0.0682,0.0321
2026-08-28 02:00:00,0.1634,0.0356,0.0706,0.0338
2026-08-28 02:15:00,0.1641,0.0278,0.0725,0.0354
2026-08-28 02:30:00,0.1637,0.0199,0.0739,0.0371
2026-08-28 02:45:00,0.1623,0.0119,0.0748,0.0387
2026-08-28 03:00:00,0.1599,0.0039,0.0752,0.0402
2026-08-28 03:15:00,0.1565,-0.0041,0.0751,0.0418
2026-08-28 03:30:00,0.1521,-0.0121,0.0745,0.0435
2026-08-28 03:45:00,0.1468,-0.0201,0.0734,0.0451
2026-08-28 04:00:00,0.1406,-0.0280,0.0718,0.0468
2026-08-28 04:15:00,0.1335,-0.0358,0.0697,0.0484
2026-08-28 04:30:00,0.1256,-0.0435,0.0671,0.0501
2026-08-28 04:45:00,0.1169,-0.0510,0.0641,0.0517
2026-08-28 05:00:00,0.1074,-0.0583,0.0606,0.0532
2026-08-28 05:15:00,0.0972,-0.0653,0.0567,0.0548
2026-08-28 05:30:00,0.0864,-0.0720,0.0524,0.0564
2026-08-28 05:45:00,0.0750,-0.0783,0.0477,0.0580
2026-08-28 06:00:00,0.0631,-0.0842,0.0427,0.0595
2026-08-28 06:15:00,0.0508,-0.0896,0.0374,0.0610
2026-08-28 06:30:00,0.0382,-0.0945,0.0318,0.0625
2026-08-28 06:45:00,0.0253,-0.0988,0.0259,0.0640
2026-08-28 07:00:00,0.0123,-0.1025,0.0198,0.0654
2026-08-28 07:15:00,-0.0008,-0.1055,0.0136,0.0668
2026-08-28 07:30:00,-0.0140,-0.1078,0.0072,0.0682
2026-08-28 07:45:00,-0.0271,-0.1094,0.0007,0.0695
2026-08-28 08:00:00,-0.0401,-0.1102,-0.0058,0.0708
2026-08-28 08:15:00,-0.0529,-0.1102,-0.0124,0.0720
2026-08-28 08:30:00,-0.0654,-0.1094,-0.0190,0.0732
2026-08-28 08:45:00,-0.0776,-0.1078,-0.0256,0.0744
2026-08-28 09:00:00,-0.0894,-0.1055,-0.0321,0.0755
2026-08-28 09:15:00,-0.1006,-0.1024,-0.0385,0.0766
2026-08-28 09:30:00,-0.1113,-0.0985,-0.0447,0.0776
2026-08-28 09:45:00,-0.1213,-0.0938,-0.0507,0.0786
2026-08-28 10:00:00,-0.1306,-0.0884,-0.0565,0.0795
2026-08-28 10:15:00,-0.1391,-0.0823,-0.0619,0.0804
2026-08-28 10:30:00,-0.1467,-0.0755,-0.0670,0.0812
2026-08-28 10:45:00,-0.1534,-0.0681,-0.0717,0.0820
2026-08-28 11:00:00,-0.1591,-0.0601,-0.0760,0.0827
2026-08-28 11:15:00,-0.1638,-0.0515,-0.0798,0.0834
2026-08-28 11:30:00,-0.1673,-0.0425,-0.0830,0.0840
2026-08-28 11:45:00,-0.1697,-0.0331,-0.0857,0.0846
2026-08-28 12:00:00,-0.1709,-0.0234,-0.0878,0.0851
2026-08-28 12:15:00,-0.1709,-0.0134,-0.0892,0.0856
2026-08-28 12:30:00,-0.1697,-0.0033,-0.0900,0.0860
2026-08-28 12:45:00,-0.1673,0.0069,-0.0901,0.0864
2026-08-28 13:00:00,-0.1638,0.0171,-0.0895,0.0867
2026-08-28 13:15:00,-0.1591,0.0273,-0.0882,0.0870
2026-08-28 13:30:00,-0.1533,0.0374,-0.0862,0.0872
2026-08-28 13:45:00,-0.1464,0.0474,-0.0835,0.0874
2026-08-28 14:00:00,-0.1384,0.0571,-0.0801,0.0875
2026-08-28 14:15:00,-0.1294,0.0666,-0.0761,0.0876
2026-08-28 14:30:00,-0.1194,0.0758,-0.0714,0.0876
2026-08-28 14:45:00,-0.1085,0.0845,-0.0661,0.0876
2026-08-28 15:00:00,-0.0967,0.0927,-0.0603,0.0875
2026-08-28 15:15:00,-0.0842,0.1004,-0.0539,0.0874
2026-08-28 15:30:00,-0.0710,0.1074,-0.0470,0.0873
2026-08-28 15:45:00,-0.0572,0.1138,-0.0397,0.0871
2026-08-28 16:00:00,-0.0428,0.1194,-0.0321,0.0869
2026-08-28 16:15:00,-0.0280,0.1242,-0.0242,0.0867
2026-08-28 16:30:00,-0.0130,0.1281,-0.0160,0.0864
2026-08-28 16:45:00,0.0022,0.1311,-0.0078,0.0862
2026-08-28 17:00:00,0.0175,0.1332,0.0006,0.0859
2026-08-28 17:15:00,0.0327,0.1342,0.0090,0.0856
2026-08-28 17:30:00,0.0477,0.1342,0.0174,0.0853
2026-08-28 17:45:00,0.0624,0.1331,0.0256,0.0850
2026-08-28 18:00:00,0.0767,0.1310,0.0337,0.0847
2026-08-28 18:15:00,0.0905,0.1278,0.0416,0.0844
2026-08-28 18:30:00,0.1036,0.1236,0.0491,0.0841
2026-08-28 18:45:00,0.1160,0.1183,0.0562,0.0838
2026-08-28 19:00:00,0.1275,0.1120,0.0628,0.0835
2026-08-28 19:15:00,0.1380,0.1047,0.0688,0.0832
2026-08-28 19:30:00,0.1475,0.0965,0.0742,0.0829
2026-08-28 19:45:00,0.1558,0.0874,0.0788,0.0827
2026-08-28 20:00:00,0.1628,0.0775,0.0827,0.0824
2026-08-28 20:15:00,0.1685,0.0668,0.0858,0.0822
2026-08-28 20:30:00,0.1728,0.0555,0.0880,0.0820
2026-08-28 20:45:00,0.1757,0.0436,0.0893,0.0818
2026-08-28 21:00:00,0.1770,0.0313,0.0898,0.0817
2026-08-28 21:15:00,0.1769,0.0186,0.0893,0.0815
2026-08-28 21:30:00,0.1752,0.0057,0.0879,0.0814
2026-08-28 21:45:00,0.1721,-0.0073,0.0856,0.0813
2026-08-28 22:00:00,0.1674,-0.0204,0.0824,0.0813
2026-08-28 22:15:00,0.1613,-0.0334,0.0784,0.0812
2026-08-28 22:30:00,0.1537,-0.0461,0.0735,0.0812
2026-08-28 22:45:00,0.1448,-0.0585,0.0678,0.0813
2026-08-28 23:00:00,0.1345,-0.0705,0.0613,0.0813
2026-08-28 23:15:00,0.1230,-0.0819,0.0542,0.0814
2026-08-28 23:30:00,0.1104,-0.0926,0.0464,0.0816
2026-08-28 23:45:00,0.0967,-0.1026,0.0380,0.0817
